Date,Time,Operator,Flight,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
1/5/2000,,Skypower Express Airways,,Lagos - Abuja,Embraer 110P1A Bandeirante,5N-AXL,110-455,16,13,3,1,1,0,1,During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.,"Abuja, Nigeria",9.0643305,7.4892974,POINT (9.064330499999999 7.4892974)
1/10/2000,17:54,Crossair,498,Zürich - Dresden,Saab 340B,HB-AKK,213,10,7,3,10,7,3,0,"The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive.","Niederhasli, Switzerland",47.4812949,8.4858049,POINT (47.48129489999999 8.4858049)
1/13/2000,12:38,Avisto,,Tripoli IAP - Marsa el-Brega,Shorts 360-300,HB-AAM,SH-3763,41,38,3,22,21,1,0,"The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega, the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines.","Marsa el-Brega, Libya",30.3810202,19.5987957,POINT (30.3810202 19.5987957)
1/15/2000,13:10,TACA,,San Jose - Tortuguero,Let 410UVP-E,YS-09-C,861620,20,17,3,5,4,1,0,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off without clearance.,"San Jose, Costa Rica",9.9325427,-84.0795782,POINT (9.932542699999999 -84.0795782)
1/30/2000,21:08,Kenya Airways,431,Abidjan - Lagos,AirbusA310-304,5Y-BEN,426,179,169,10,169,159,10,0,"The aircraft crashed into the Atlantic Ocean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.","Abidjan, Ivory Coast",5.320357,-4.016107,POINT (5.320357 -4.016107)
1/31/2000,16:21,Alaska Airlines,261,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,N963AS,53077/1995,88,83,5,88,83,5,0,"The aircraft crashed into the Pacific Ocean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed.","Point Mugu, California",34.1069238,-119.0210254,POINT (34.1069238 -119.021025373874)
2/2/2000,,Military - Islamic Republic of Iran Air Force,,Training,Lockheed C-130 Hercules,,,8,,,8,,,0,Crashed on take off.,"Tehran, Iran",35.7006177,51.4013785,POINT (35.7006177 51.4013785)
2/16/2000,19:50,Emery Worldwide,17,"Sacramento, CA - Dayton, OH",McDonnell Douglas DC-8-71F,N8079U,45947/341,3,0,3,3,0,3,0,The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.,"Sacramento, California",38.5810606,-121.4938951,POINT (38.5810606 -121.4938951)
3/5/2000,18:11,Southwest Airlines,1455,Las Vegas - Burbank,Boeing B-737-3T5,N668SW,23060/1069,142,137,5,0,0,0,0,"While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver.","Burbank, Calilfornia",41.744956,-87.76851,POINT (41.744956 -87.76850999999998)
3/9/2000,8:40,Vologodskiye Airlines,,Moscow - Kiev,Yakovlev YAK-40,RA-88170,9620847,9,4,5,9,4,5,0,"The aircraft climbed to an altitude of about 100 ft., stalled, lost control and crashed. Ice build up on the wings. Flaps incorrectly set.","Moscow, Russia",55.7504461,37.6174943,POINT (55.7504461 37.6174943)
