Date,State,Dead,Injured,Total
31/12/2021,Maryland,0,4,4
31/12/2021,California,0,6,6
31/12/2021,Mississippi,4,3,7
30/12/2021,Pennsylvania,0,6,6
30/12/2021,Missouri,2,2,4
27/12/2021,Alabama,1,3,4
27/12/2021,Colorado,6,2,8
27/12/2021,Ohio,1,3,4
26/12/2021,New York,0,4,4
26/12/2021,Virginia,1,4,5
26/12/2021,Texas,3,1,4
26/12/2021,Mississippi,0,7,7
26/12/2021,Pennsylvania,0,4,4
25/12/2021,Louisiana,0,4,4
24/12/2021,New York,0,4,4
24/12/2021,Georgia,1,3,4
24/12/2021,Pennsylvania,0,6,6
19/12/2021,Illinois,1,3,4
17/12/2021,Maryland,1,3,4
17/12/2021,Virginia,0,4,4
17/12/2021,Maryland,1,4,5
16/12/2021,Alabama,0,4,4
13/12/2021,California,0,4,4
13/12/2021,Pennsylvania,0,4,4
13/12/2021,North Carolina,2,4,6
12/12/2021,Mississippi,0,6,6
12/12/2021,Florida,0,5,5
12/12/2021,Texas,1,14,15
12/12/2021,Virginia,0,4,4
11/12/2021,Illinois,1,3,4
10/12/2021,Michigan,1,3,4
10/12/2021,Florida,0,5,5
10/12/2021,North Carolina,0,5,5
9/12/2021,Wisconsin,1,5,6
6/12/2021,Pennsylvania,0,4,4
5/12/2021,Michigan,2,2,4
5/12/2021,Texas,1,3,4
3/12/2021,Tennessee,2,2,4
2/12/2021,North Carolina,3,3,6
30/11/2021,Michigan,4,7,11
30/11/2021,Georgia,4,2,6
28/11/2021,Maryland,0,7,7
28/11/2021,Illinois,1,4,5
28/11/2021,California,5,0,5
28/11/2021,Colorado,0,5,5
28/11/2021,Pennsylvania,0,4,4
27/11/2021,New Jersey,1,3,4
26/11/2021,Tennessee,3,4,7
25/11/2021,Texas,2,2,4
25/11/2021,South Carolina,0,4,4
23/11/2021,Florida,0,4,4
23/11/2021,Texas,1,3,4
22/11/2021,North Carolina,2,2,4
21/11/2021,Louisiana,1,4,5
21/11/2021,New Jersey,0,5,5
20/11/2021,California,2,2,4
20/11/2021,Illinois,0,4,4
18/11/2021,Maryland,1,3,4
17/11/2021,Illinois,1,3,4
17/11/2021,New York,0,4,4
17/11/2021,New York,0,4,4
17/11/2021,Illinois,0,4,4
15/11/2021,New York,0,4,4
15/11/2021,Colorado,0,6,6
14/11/2021,Pennsylvania,0,6,6
14/11/2021,Missouri,1,5,6
14/11/2021,Oregon,2,2,4
14/11/2021,Arizona,4,1,5
14/11/2021,Alabama,1,5,6
13/11/2021,North Carolina,0,4,4
13/11/2021,Louisiana,0,4,4
12/11/2021,Virginia,2,2,4
12/11/2021,Alabama,2,2,4
9/11/2021,New York,0,4,4
9/11/2021,South Dakota,3,2,5
9/11/2021,Louisiana,1,4,5
8/11/2021,Pennsylvania,0,4,4
7/11/2021,Wisconsin,1,3,4
6/11/2021,California,2,2,4
6/11/2021,Texas,0,6,6
6/11/2021,California,0,4,4
5/11/2021,California,1,3,4
3/11/2021,Iowa,0,4,4
3/11/2021,Virginia,3,2,5
2/11/2021,Alabama,0,4,4
1/11/2021,Florida,0,4,4
1/11/2021,Texas,0,4,4
31/10/2021,Illinois,1,3,4
31/10/2021,Colorado,2,2,4
31/10/2021,Texas,1,9,10
31/10/2021,Kentucky,2,2,4
31/10/2021,Texas,1,3,4
31/10/2021,Illinois,2,12,14
30/10/2021,California,1,3,4
30/10/2021,Texas,1,9,10
30/10/2021,Oklahoma,0,4,4
30/10/2021,Illinois,0,4,4
30/10/2021,Florida,1,4,5
30/10/2021,California,2,5,7
29/10/2021,Michigan,0,4,4
29/10/2021,New York,0,5,5
28/10/2021,Nevada,0,4,4
28/10/2021,Tennessee,1,3,4
25/10/2021,Idaho,3,4,7
25/10/2021,Tennessee,0,4,4
24/10/2021,California,2,2,4
